업체명,주소,전화번호
궁전모텔,대전광역시 중구 계룡로882번길 105 (오류동),042-527-5550
호텔버스,대전광역시 중구 계룡로921번길 16 (대사동),042-222-1103
로얄파크,대전광역시 중구 대둔산로 497 (유천동),042-582-2392
평안장여관,대전광역시 중구 유등천동로324번길 60 (유천동),042-585-4736
호텔마이스테이,대전광역시 중구 중교로 10 (대흥동),042-255-1778
레이크모텔,대전광역시 중구 계룡로921번길 11 (대사동),042-254-5551
럭셔리모텔,대전광역시 중구 대종로386번길 13 (부사동),042-252-6758
프로방스모텔,대전광역시 중구 대둔산로 471 (산성동),042-582-7022
현대여인숙,"대전광역시 중구 계백로1566번길 6 (유천동,,35)",042-582-2119
대림파크,대전광역시 중구 대흥로158번길 18 (대흥동),042-255-7677
루오호텔대흥점,대전광역시 중구 인창로6번길 25 (대흥동),042-255-8890
아크리스,대전광역시 중구 유등천동로 326-9 (산성동),042-583-1477
산토리니,대전광역시 중구 대종로396번길 5 (대흥동),042-255-1775
몽모텔,대전광역시 중구 대흥로169번길 11 (대흥동),042-226-2128
스테이오늘,대전광역시 중구 대흥로158번길 13 (대흥동),042-221-0411
프로포즈 모텔,대전광역시 중구 계룡로882번길 112 (오류동),042-537-6577
아비숑모텔,대전광역시 중구 대종로402번길 28 (문창동),042-242-5287
모아모텔,"대전광역시 중구 대종로460번길 28 (대흥동,130-2)",042-222-3077
리베라모텔,대전광역시 중구 계백로1550번길 56 (유천동),042-585-1118
브라운도트호텔대전역점,대전광역시 중구 대종로460번길 29 (대흥동),042-255-9500
시애틀,대전광역시 중구 대둔산로494번길 15 (유천동),042-586-2090
팰리스모텔,대전광역시 중구 보문로260번길 45 (대흥동),042-252-2299
노블레스모텔,대전광역시 중구 대둔산로509번길 7 (유천동),042-586-7711
카라모텔,대전광역시 중구 목척2길 18 (은행동),042-223-0505
대웅장여관,대전광역시 중구 대둔산로509번길 15 (유천동),042-582-2067
뉴그랜드모텔,대전광역시 중구 문창로 109-14 (대흥동),042-221-0177
대전호텔박스,대전광역시 중구 대종로432번길 28 (대흥동),042-221-6544
그레이스모텔,대전광역시 중구 문창로 109-10 (문창동),042-252-9921
샵모텔,"대전광역시 중구 목척9길 6 (은행동,외2)",042-255-6060
올인모텔,대전광역시 중구 목척7길 10 (은행동),042-252-6638
그리스호텔,대전광역시 중구 인창로 31 (문창동),042-242-8630
호텔루키,대전광역시 중구 대흥로158번길 25 (대흥동),042-222-1146
호텔띠아모,대전광역시 중구 문창로 92 (문창동),042-226-4300
칸모텔,대전광역시 중구 인창로6번길 19 (대흥동),042-255-7322
더리즈,대전광역시 중구 문창로98번길 38 (문창동),042-222-8988
포시즌모텔,대전광역시 중구 목척7길 13 (은행동),042-257-1886
베스트인시티호텔2,"대전광역시 중구 대종로386번길 7 (부사동,,대흥동49-12)",042-226-1070
휴모텔,대전광역시 중구 목척7길 26 (은행동),042-224-0752
단밤,"대전광역시 중구 대흥로158번길 53 (대흥동,,9,24번지)",042-257-5556
스타호텔,대전광역시 중구 대흥로158번길 46 (대흥동),042-242-2050
아델리아,대전광역시 중구 계백로1685번길 5 (오류동),042-532-8648
자바호텔,"대전광역시 중구 중앙로109번길 36 (선화동,20)",042-256-6191
베스트인시티호텔,대전광역시 중구 대종로386번길 1 (대흥동),042-221-4897
이티모텔,대전광역시 중구 유천로17번안길 52 (유천동),042-581-1696
자우리호텔 은행점,대전광역시 중구 대흥로111번길 35 (대흥동),042-223-7722
호텔일루와,대전광역시 중구 대둔산로 500 (유천동),042-587-1255
카리스마모텔,대전광역시 중구 유등천동로 326-16 (산성동),042-582-8992
로지호텔,대전광역시 중구 대종로452번길 48 (대흥동),042-255-6933
낙원하우스,대전광역시 중구 중앙로16번길 19-5 (문화동),042-253-4215
하얏트모텔,대전광역시 중구 목척7길 24 (은행동),042-223-0394
나인스팟호텔,대전광역시 중구 중앙로129번길 28 (선화동),042-254-0952
무비스모텔,대전광역시 중구 대흥로169번길 30 (대흥동),042-256-3008
럭셔리모텔,대전광역시 중구 대종로386번길 11 (부사동),042-255-4006
로즈마리모텔,대전광역시 중구 보문로162번길 94 (대사동),042-226-4522
아늑에어호텔대전문창점,대전광역시 중구 문창로94번길 28 (문창동),507-1474-6444
풀하우스,대전광역시 중구 유천로17번안길 50-11 (유천동),042-584-3360
네오텔,대전광역시 중구 문창로98번길 8 (문창동),042-251-8072
오리엔탈모텔,대전광역시 중구 계룡로874번길 103-1 (오류동),042-536-5881
제우스모텔,대전광역시 중구 대종로529번길 41 (선화동),042-223-1500
대림호텔,대전광역시 중구 대종로505번길 50 (선화동),042-251-9500
백운장,대전광역시 중구 유천로47번길 104 (유천동),042-585-0855
맥모텔,대전광역시 중구 계룡로921번길 12 (대사동),042-252-2727
두솔모텔,대전광역시 중구 계룡로 791-17 (용두동),042-257-5028
콩모텔,대전광역시 중구 대흥로169번길 12 (대흥동),042-223-9100
카리브모텔,대전광역시 중구 문창로98번길 31 (문창동),042-271-8885
자바무인텔,대전광역시 중구 문창로 85-16 (문창동),042-257-9605
호텔7,대전광역시 중구 문창로90번길 8 (문창동),042-242-4101
호텔썸,대전광역시 중구 문창로102번길 22 (문창동),042-254-0099
아늑호텔대전대흥점,"대전광역시 중구 대종로460번길 11, 2,3,4층 (대흥동)",507-1411-7599
메종,"대전광역시 중구 목척9길 13, 2~5층 (은행동)",042-253-3907
대전하늘정원,대전광역시 중구 보문로230번길 40 (대흥동),042-255-0043
오룡하우스,"대전광역시 중구 어덕마을로10번길 95-4, 3~5층 (용두동)",042-253-1500
정연하우스,대전광역시 중구 대종로529번길 39 (선화동),042-252-6062
크리스탈레지던스호텔,대전광역시 중구 대종로452번길 38 (대흥동),042-255-2933
스카이빌,대전광역시 중구 문창로 109-9 (대흥동),704-175-9080
